,一共游戏场数,10551
1,路卡利欧,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,95,18.26%,1361,70.63%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,EspoirСвёт,124,70.86%
,,Wablet?,103,79.84%
,,AramisCe,92,74.19%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,神速		骨棒乱打	万灵药,797,70.34%,65
,,神速		骨棒乱打	速度强化,291,72.21%,23
,,增强拳	近身战	速度强化,124,74.25%,22
,,增强拳	近身战	攻击强化,45,68.18%,19
,,神速		近身战	速度强化,35,72.92%,12
,,神速		骨棒乱打	攻击强化,34,79.07%,10
,,增强拳	近身战	逃脱按键,15,57.69%,7
,,增强拳	骨棒乱打	速度强化,6,66.67%,4
,,增强拳	近身战	万灵药,6,50.0%,10
,,神速		近身战	万灵药,2,66.67%,3
,,增强拳	近身战	迟缓烟雾,1,100.0%,1
,,神速		近身战	伤药	,1,100.0%,1
,,增强拳	骨棒乱打	逃脱按键,1,100.0%,1
,,神速		骨棒乱打	逃脱按键,1,50.0%,2
,,增强拳	骨棒乱打	攻击强化,1,33.33%,2
,,神速		近身战	攻击强化,1,20.0%,3
,,神速		骨棒乱打	伤药	,0,0.0%,1
,,增强拳	骨棒乱打	万灵药,0,0.0%,1
,,神速		近身战	逃脱按键,0,0.0%,1
,,增强拳	近身战	向尾喵的尾巴,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	锐利之爪	弱点保险,327,74.32%,28
,,猛攻哑铃	力量头带	弱点保险,684,69.02%,24
,,猛攻哑铃	力量头带	锐利之爪,191,68.21%,23
,,猛攻哑铃	气势头带	弱点保险,31,86.11%,3
,,力量头带	锐利之爪	弱点保险,2,50.0%,2
,,亿奥斯饼干	猛攻哑铃	弱点保险,13,65.0%,1
,,猛攻哑铃	轻石		弱点保险,7,53.85%,1
,,能量增幅器	猛攻哑铃	弱点保险,2,50.0%,1
,,救援屏障	猛攻哑铃	弱点保险,1,100.0%,1
,,救援屏障	猛攻哑铃	力量头带,1,50.0%,1
2,快龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,81,14.92%,1198,76.11%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,頑張ろうww,122,73.49%
,,R0juu,102,77.27%
,,芥川あき,101,95.28%
