,一共游戏场数,4602
1,幸福蛋,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,70,19.67%,611,67.51%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,TE・999,82,64.57%
,,さみしい'04,35,68.63%
,,น๊อตตี้ซ่า,34,70.83%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,炸蛋		生蛋		速度强化,546,67.66%,66
,,帮助		神秘守护	速度强化,36,69.23%,18
,,炸蛋		生蛋		逃脱按键,15,65.22%,2
,,炸蛋		神秘守护	速度强化,12,66.67%,7
,,炸蛋		生蛋		攻击强化,2,100.0%,2
,,帮助		生蛋		速度强化,0,0.0%,2
,,炸蛋		生蛋		伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,救援屏障	学习装置	气势头带,297,64.01%,25
,,救援屏障	进击眼镜	气势头带,72,69.9%,9
,,讲究眼镜	救援屏障	气势头带,61,67.78%,4
,,能量增幅器	救援屏障	气势头带,2,66.67%,3
,,救援屏障	得分护盾	气势头带,2,40.0%,3
,,进击眼镜	学习装置	气势头带,1,33.33%,3
,,能量增幅器	进击眼镜	贝壳之铃,15,83.33%,2
,,亿奥斯饼干	进击眼镜	气势头带,4,66.67%,2
,,救援屏障	气势头带	博识眼镜,3,75.0%,2
,,得分护盾	进击眼镜	气势头带,35,68.63%,1
,,救援屏障	学习装置	贝壳之铃,30,76.92%,1
,,能量增幅器	救援屏障	学习装置,12,80.0%,1
,,能量增幅器	救援屏障	贝壳之铃,10,55.56%,1
,,救援屏障	进击眼镜	学习装置,9,100.0%,1
,,能量增幅器	学习装置	气势头带,9,100.0%,1
,,能量增幅器	学习装置	贝壳之铃,8,80.0%,1
,,进击眼镜	气势头带	博识眼镜,4,57.14%,1
,,讲究眼镜	学习装置	气势头带,3,75.0%,1
,,能量增幅器	进击眼镜	气势头带,1,100.0%,1
,,讲究眼镜	进击眼镜	气势头带,1,50.0%,1
,,讲究眼镜	气势头带	贝壳之铃,0,0.0%,1
,,救援屏障	气势头带	贝壳之铃,0,0.0%,1
2,班基拉斯,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,46,16.69%,558,72.66%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,BoraReach,75,68.81%
,,がみおす,70,66.67%
,,S丨MarKGod,54,75.0%
