,一共游戏场数,9075
1,梦幻,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,125,38.19%,2568,74.09%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,코미_こみ,125,73.53%
,,Suna_7,121,70.35%
,,Stockings,118,81.94%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冲浪		高速移动	逃脱按键,752,73.44%,90
,,日光束	光墙		逃脱按键,669,70.94%,82
,,日光束	高速移动	逃脱按键,289,75.85%,54
,,电球		高速移动	逃脱按键,204,79.07%,51
,,冲浪		高速移动	速度强化,144,78.69%,23
,,日光束	光墙		速度强化,139,74.33%,25
,,冲浪		高速移动	攻击强化,79,70.54%,7
,,冲浪		光墙		逃脱按键,42,67.74%,19
,,技能未定	技能未定	逃脱按键,30,90.91%,24
,,日光束	光墙		攻击强化,27,69.23%,7
,,电球		指导		逃脱按键,24,88.89%,16
,,电球		高速移动	攻击强化,24,80.0%,3
,,冲浪		技能未定	逃脱按键,22,75.86%,18
,,日光束	高速移动	攻击强化,22,73.33%,4
,,日光束	技能未定	逃脱按键,20,90.91%,17
,,电球		高速移动	速度强化,18,78.26%,9
,,日光束	高速移动	速度强化,11,61.11%,9
,,冲浪		指导		逃脱按键,8,80.0%,8
,,电球		光墙		逃脱按键,7,77.78%,5
,,技能未定	技能未定	速度强化,5,100.0%,3
,,电球		技能未定	逃脱按键,5,50.0%,8
,,日光束	指导		逃脱按键,4,100.0%,4
,,电球		指导		速度强化,4,80.0%,4
,,冲浪		指导		速度强化,3,100.0%,2
,,日光束	技能未定	攻击强化,3,100.0%,3
,,技能未定	技能未定	攻击强化,3,100.0%,2
,,电球		技能未定	速度强化,3,75.0%,3
,,冲浪		技能未定	攻击强化,2,66.67%,2
,,电球		技能未定	攻击强化,1,100.0%,1
,,冲浪		指导		攻击强化,1,100.0%,1
,,日光束	技能未定	速度强化,1,100.0%,1
,,日光束	高速移动	伤药	,1,100.0%,1
,,冲浪		技能未定	速度强化,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	贝壳之铃	博识眼镜,1484,73.28%,68
,,讲究眼镜	进击眼镜	博识眼镜,692,75.22%,28
,,讲究眼镜	气势头带	博识眼镜,82,74.55%,11
,,讲究眼镜	进击眼镜	贝壳之铃,100,80.65%,5
,,讲究眼镜	进击眼镜	气势头带,30,62.5%,3
,,讲究眼镜	能量增幅器	博识眼镜,65,65.0%,1
,,讲究眼镜	气势头带	贝壳之铃,6,60.0%,1
2,魔墙人偶,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,119,27.81%,1938,76.78%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,MoneyMaxTV,182,77.12%
,,1LevUP,112,75.17%
,,KellyJT_陰陽,105,81.4%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,念力		力量互换	速度强化,1717,76.86%,111
,,念力		力量互换	伤药	,175,79.55%,9
,,念力		屏障		速度强化,16,66.67%,16
,,念力		力量互换	逃脱按键,13,54.17%,3
,,精神强念	力量互换	速度强化,11,73.33%,13
,,念力		力量互换	向尾喵的尾巴,4,80.0%,2
,,念力		力量互换	攻击强化,1,100.0%,1
,,念力		屏障		伤药	,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	进击眼镜	气势头带,1448,77.81%,74
,,能量增幅器	进击眼镜	气势头带,63,70.79%,6
,,进击眼镜	气势头带	博识眼镜,30,66.67%,6
,,讲究眼镜	进击眼镜	博识眼镜,69,71.13%,5
,,救援屏障	进击眼镜	气势头带,41,74.55%,5
,,亿奥斯饼干	进击眼镜	气势头带,41,78.85%,3
,,讲究眼镜	亿奥斯饼干	进击眼镜,27,75.0%,3
,,讲究眼镜	能量增幅器	进击眼镜,22,88.0%,3
,,得分护盾	进击眼镜	气势头带,58,69.88%,2
,,讲究眼镜	得分护盾	进击眼镜,20,68.97%,2
,,讲究眼镜	气势头带	博识眼镜,19,67.86%,2
,,能量增幅器	进击眼镜	贝壳之铃,12,70.59%,1
,,救援屏障	亿奥斯饼干	进击眼镜,3,100.0%,1
,,讲究眼镜	救援屏障	气势头带,1,33.33%,1
3,嘟嘟利,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,69,16.79%,1144,75.07%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,モモンガ@39,118,69.01%
,,Gow_YT丶善心,93,72.09%
,,TE・FreaK,86,80.37%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,三重攻击	高速移动	万灵药,929,75.71%,57
,,三重攻击	高速移动	速度强化,137,70.62%,6
,,三重攻击	飞踢		万灵药,26,96.3%,7
,,三重攻击	高速移动	逃脱按键,23,69.7%,2
,,三重攻击	高速移动	伤药	,11,68.75%,1
,,三重攻击	高速移动	攻击强化,10,76.92%,1
,,啄钻		高速移动	万灵药,2,50.0%,4
