,一共游戏场数,2501
1,梦幻,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,51,34.83%,638,73.25%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ObuyanTV・YT,41,82.0%
,,TE・Oblivion,35,81.4%
,,TTVOtterVGC,34,82.93%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,日光束	光墙		速度强化,111,72.08%,26
,,冲浪		高速移动	速度强化,83,70.34%,20
,,日光束	光墙		逃脱按键,69,69.0%,28
,,电球		高速移动	逃脱按键,47,77.05%,13
,,日光束	高速移动	速度强化,43,81.13%,12
,,冲浪		高速移动	逃脱按键,42,66.67%,20
,,电球		高速移动	速度强化,37,80.43%,12
,,日光束	高速移动	逃脱按键,26,76.47%,12
,,电球		指导		速度强化,20,95.24%,10
,,冲浪		高速移动	万灵药,19,82.61%,3
,,电球		高速移动	万灵药,14,70.0%,3
,,日光束	光墙		万灵药,13,72.22%,3
,,冲浪		光墙		逃脱按键,11,52.38%,9
,,电球		光墙		逃脱按键,10,83.33%,4
,,冲浪		光墙		速度强化,10,66.67%,6
,,冲浪		指导		速度强化,10,62.5%,11
,,冲浪		高速移动	攻击强化,8,72.73%,3
,,冲浪		指导		逃脱按键,8,57.14%,10
,,电球		指导		逃脱按键,6,66.67%,8
,,技能未定	技能未定	速度强化,5,100.0%,4
,,冲浪		技能未定	速度强化,4,100.0%,4
,,冲浪		指导		攻击强化,4,100.0%,1
,,日光束	指导		速度强化,4,80.0%,5
,,日光束	光墙		攻击强化,4,80.0%,3
,,日光束	技能未定	速度强化,3,100.0%,3
,,冲浪		技能未定	逃脱按键,3,100.0%,2
,,日光束	光墙		得分加速装置,3,100.0%,1
,,日光束	指导		逃脱按键,3,75.0%,2
,,技能未定	技能未定	逃脱按键,3,50.0%,3
,,电球		技能未定	速度强化,2,100.0%,2
,,冲浪		指导		万灵药,2,100.0%,2
,,电球		光墙		速度强化,1,100.0%,1
,,电球		指导		万灵药,1,100.0%,1
,,日光束	高速移动	迟缓烟雾,1,100.0%,1
,,日光束	光墙		伤药	,1,100.0%,1
,,日光束	指导		攻击强化,1,100.0%,1
,,日光束	技能未定	逃脱按键,1,100.0%,1
,,电球		高速移动	攻击强化,1,100.0%,1
,,日光束	指导		万灵药,1,100.0%,1
,,日光束	技能未定	万灵药,1,100.0%,1
,,冲浪		高速移动	得分加速装置,1,100.0%,1
,,技能未定	技能未定	攻击强化,1,50.0%,1
,,电球		技能未定	逃脱按键,0,0.0%,1
,,冲浪		高速移动	伤药	,0,0.0%,1
,,冲浪		技能未定	万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	气势头带	博识眼镜,142,71.0%,14
,,讲究眼镜	贝壳之铃	博识眼镜,137,71.73%,11
,,讲究眼镜	能量增幅器	博识眼镜,97,76.38%,6
,,讲究眼镜	气势头带	力量头带,98,87.5%,4
,,讲究眼镜	进击眼镜	博识眼镜,31,65.96%,3
,,能量增幅器	气势头带	贝壳之铃,21,50.0%,3
,,讲究眼镜	进击眼镜	贝壳之铃,28,71.79%,2
,,讲究眼镜	气势头带	贝壳之铃,6,75.0%,2
,,讲究眼镜	学习装置	气势头带,41,82.0%,1
,,学习装置	气势头带	贝壳之铃,15,60.0%,1
,,进击眼镜	气势头带	博识眼镜,10,66.67%,1
,,讲究眼镜	力量头带	博识眼镜,8,88.89%,1
,,能量增幅器	贝壳之铃	博识眼镜,3,60.0%,1
,,讲究眼镜	进击眼镜	气势头带,1,100.0%,1
2,魔墙人偶,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,52,31.35%,587,74.87%
