,一共游戏场数,6250
1,巨钳螳螂,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,68,21.46%,1017,75.84%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Holly__,119,83.8%
,,敵外人ざくす,96,80.0%
,,-月光闇-,94,85.45%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,双翼		剑舞		万灵药,801,75.78%,58
,,双翼		二连击	万灵药,178,77.73%,29
,,双翼		二连击	速度强化,14,70.0%,2
,,子弹拳	剑舞		万灵药,11,68.75%,8
,,双翼		二连击	逃脱按键,5,83.33%,2
,,双翼		剑舞		逃脱按键,3,75.0%,2
,,子弹拳	剑舞		伤药	,2,66.67%,1
,,子弹拳	剑舞		速度强化,2,66.67%,2
,,双翼		剑舞		速度强化,1,100.0%,1
,,子弹拳	剑舞		逃脱按键,0,0.0%,1
,,双翼		剑舞		伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	能量增幅器	锐利之爪,235,76.05%,21
,,气势头带	能量增幅器	锐利之爪,252,78.75%,11
,,气势头带	猛攻哑铃	锐利之爪,166,75.8%,9
,,力量头带	能量增幅器	锐利之爪,131,71.58%,8
,,气势头带	猛攻哑铃	能量增幅器,44,70.97%,8
,,弱点保险	气势头带	猛攻哑铃,7,70.0%,2
,,弱点保险	猛攻哑铃	锐利之爪,96,80.0%,1
,,亿奥斯饼干	弱点保险	气势头带,45,70.31%,1
,,弱点保险	能量增幅器	锐利之爪,13,68.42%,1
,,弱点保险	气势头带	能量增幅器,6,100.0%,1
,,弱点保险	气势头带	锐利之爪,6,75.0%,1
,,救援屏障	能量增幅器	锐利之爪,6,66.67%,1
,,力量头带	气势头带	锐利之爪,5,83.33%,1
,,亿奥斯饼干	焦点镜	猛攻哑铃,4,80.0%,1
,,能量增幅器	轻石	锐利之爪,1,100.0%,1
2,梦幻,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,75,20.58%,984,76.52%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,紫式布団,98,75.38%
,,ポン酢海月,58,77.33%
,,PO・Badshahh,53,74.65%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,日光束	光墙		逃脱按键,240,73.62%,50
,,日光束	光墙		万灵药,156,77.23%,14
,,电球		高速移动	逃脱按键,141,75.4%,41
,,冲浪		高速移动	逃脱按键,124,77.02%,44
,,冲浪		高速移动	万灵药,107,78.68%,13
,,电球		高速移动	万灵药,80,76.19%,11
,,日光束	高速移动	逃脱按键,30,83.33%,19
,,电球		指导		逃脱按键,26,81.25%,15
,,电球		光墙		逃脱按键,22,84.62%,13
,,电球		指导		万灵药,13,86.67%,11
,,日光束	高速移动	万灵药,9,100.0%,6
,,电球		光墙		万灵药,7,87.5%,2
,,冲浪		高速移动	速度强化,7,70.0%,4
,,日光束	光墙		速度强化,7,70.0%,4
,,冲浪		光墙		逃脱按键,7,63.64%,6
,,电球		高速移动	速度强化,3,100.0%,3
,,冲浪		指导		逃脱按键,2,50.0%,2
,,日光束	高速移动	速度强化,1,100.0%,1
,,日光束	指导		逃脱按键,1,100.0%,1
,,冲浪		光墙		万灵药,1,50.0%,1
,,冲浪		指导		万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	讲究眼镜	进击眼镜,481,74.92%,48
,,博识眼镜	学习装置	讲究眼镜,344,79.26%,13
,,博识眼镜	讲究眼镜	贝壳之铃,105,76.09%,12
,,讲究眼镜	贝壳之铃	进击眼镜,35,72.92%,1
,,学习装置	讲究眼镜	进击眼镜,19,79.17%,1
3,嘟嘟利,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,60,17.55%,840,76.57%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Ditto'柊,80,74.07%
,,TTVvindiesel,60,74.07%
,,IamCooool,51,94.44%
