,一共游戏场数,2511
1,梦幻,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,45,34.85%,677,77.37%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,RB_ゆめにゃ,44,93.62%
,,NightmFoxy,43,86.0%
,,TTVOtterVGC,41,82.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冲浪		高速移动	逃脱按键,136,75.98%,24
,,日光束	光墙		逃脱按键,102,74.45%,20
,,日光束	光墙		速度强化,96,84.21%,16
,,冲浪		高速移动	速度强化,72,80.0%,11
,,电球		高速移动	逃脱按键,62,74.7%,13
,,日光束	高速移动	逃脱按键,52,69.33%,13
,,电球		高速移动	速度强化,29,90.62%,6
,,日光束	高速移动	速度强化,24,75.0%,6
,,冲浪		光墙		逃脱按键,12,70.59%,7
,,冲浪		光墙		速度强化,10,83.33%,5
,,冲浪		指导		速度强化,9,90.0%,5
,,冲浪		高速移动	得分加速装置,9,69.23%,1
,,技能未定	技能未定	逃脱按键,8,100.0%,7
,,日光束	光墙		万灵药,5,71.43%,2
,,冲浪		高速移动	万灵药,4,100.0%,2
,,电球		高速移动	得分加速装置,4,100.0%,1
,,冲浪		指导		逃脱按键,4,100.0%,3
,,电球		指导		逃脱按键,4,66.67%,2
,,日光束	技能未定	逃脱按键,3,100.0%,2
,,电球		指导		速度强化,3,75.0%,2
,,日光束	指导		速度强化,3,75.0%,4
,,电球		光墙		逃脱按键,3,75.0%,3
,,冲浪		技能未定	速度强化,3,60.0%,3
,,日光束	光墙		得分加速装置,3,50.0%,1
,,冲浪		光墙		万灵药,2,100.0%,2
,,电球		技能未定	速度强化,2,100.0%,2
,,冲浪		技能未定	得分加速装置,2,100.0%,1
,,电球		技能未定	逃脱按键,2,100.0%,1
,,电球		高速移动	万灵药,2,66.67%,2
,,冲浪		技能未定	逃脱按键,2,66.67%,3
,,电球		光墙		速度强化,1,100.0%,1
,,日光束	高速移动	得分加速装置,1,100.0%,1
,,日光束	技能未定	速度强化,1,100.0%,1
,,技能未定	技能未定	速度强化,1,50.0%,2
,,日光束	高速移动	万灵药,1,50.0%,1
,,日光束	指导		逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	贝壳之铃	博识眼镜,322,78.54%,21
,,讲究眼镜	气势头带	博识眼镜,217,73.31%,12
,,讲究眼镜	进击眼镜	博识眼镜,77,83.7%,5
,,讲究眼镜	进击眼镜	气势头带,32,84.21%,2
,,讲究眼镜	能量增幅器	贝壳之铃,12,85.71%,1
,,讲究眼镜	学习装置	气势头带,10,71.43%,1
,,讲究眼镜	进击眼镜	贝壳之铃,7,77.78%,1
,,讲究眼镜	救援屏障	博识眼镜,0,0.0%,1
,,讲究眼镜	能量增幅器	博识眼镜,0,0.0%,1
2,魔墙人偶,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,41,32.06%,645,80.12%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,.Froggy青蛙.,45,90.0%
,,QLASH・Stark,44,91.67%
,,STMN・Kira,41,83.67%
