,一共游戏场数,10365
1,火焰鸡,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,115,11.89%,902,73.21%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,QG·GoodNight,74,77.89%
,,Indra=Mausi.,63,86.3%
,,Sanemi永,63,72.41%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,火焰拳	真气弹	逃脱按键,487,75.62%,96
,,过热		火焰踢	逃脱按键,415,70.7%,94
,,过热		火焰踢	攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	猛攻哑铃	锐利之爪,431,72.32%,67
,,弱点保险	气势头带	猛攻哑铃,215,76.51%,19
,,亿奥斯饼干	弱点保险	猛攻哑铃,132,68.04%,12
,,亿奥斯饼干	力量头带	猛攻哑铃,60,74.07%,5
,,亿奥斯饼干	猛攻哑铃	锐利之爪,22,91.67%,4
,,气势头带	猛攻哑铃	锐利之爪,38,79.17%,3
,,力量头带	弱点保险	锐利之爪,3,60.0%,2
,,力量头带	弱点保险	猛攻哑铃,0,0.0%,2
,,咒术手镯	气势头带	猛攻哑铃,1,100.0%,1
2,班基拉斯,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,95,11.23%,857,73.63%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,4lbert_w,60,70.59%
,,Sigure,59,78.67%
,,Bocchi§Ahihi,46,76.67%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,尖石攻击	流沙深渊	万灵药,273,75.41%,26
,,尖石攻击	流沙深渊	逃脱按键,266,73.28%,32
,,尖石攻击	流沙深渊	速度强化,218,72.91%,34
,,恶之波动	原始之力	速度强化,48,71.64%,9
,,尖石攻击	流沙深渊	伤药	,31,68.89%,9
,,恶之波动	流沙深渊	逃脱按键,9,81.82%,4
,,恶之波动	流沙深渊	速度强化,3,75.0%,4
,,尖石攻击	原始之力	速度强化,3,75.0%,3
,,尖石攻击	原始之力	万灵药,1,100.0%,1
,,恶之波动	流沙深渊	万灵药,1,100.0%,1
,,恶之波动	原始之力	万灵药,1,100.0%,1
,,尖石攻击	原始之力	伤药	,1,100.0%,1
,,恶之波动	原始之力	伤药	,1,50.0%,2
,,恶之波动	原始之力	逃脱按键,1,33.33%,3
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	气势头带	猛攻哑铃,305,75.5%,41
,,弱点保险	气势头带	锐利之爪,117,78.0%,13
,,弱点保险	猛攻哑铃	锐利之爪,87,71.31%,6
,,力量头带	弱点保险	气势头带,45,71.43%,5
,,共鸣护盾	弱点保险	猛攻哑铃,59,74.68%,4
,,力量头带	弱点保险	锐利之爪,9,75.0%,4
,,亿奥斯饼干	弱点保险	猛攻哑铃,36,69.23%,3
,,力量头带	气势头带	锐利之爪,7,87.5%,3
,,力量头带	弱点保险	猛攻哑铃,63,70.79%,2
,,力量头带	猛攻哑铃	锐利之爪,39,63.93%,2
,,气势头带	猛攻哑铃	锐利之爪,31,73.81%,2
,,力量头带	弱点保险	焦点镜,1,50.0%,2
,,共鸣护盾	力量头带	锐利之爪,20,62.5%,1
,,弱点保险	焦点镜	锐利之爪,14,77.78%,1
,,共鸣护盾	猛攻哑铃	锐利之爪,9,64.29%,1
,,力量头带	气势头带	猛攻哑铃,7,100.0%,1
,,亿奥斯饼干	共鸣护盾	弱点保险,5,83.33%,1
,,弱点保险	轻石	锐利之爪,1,100.0%,1
,,亿奥斯饼干	气势头带	猛攻哑铃,1,100.0%,1
,,弱点保险	猛攻哑铃	轻石,1,100.0%,1
3,密勒顿,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,64,7.35%,579,75.98%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Gomiru.,64,80.0%
,,最つよちゃん,63,70.79%
,,L._F4ker,49,84.48%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,闪电猛冲	抛物面充电	逃脱按键,238,74.14%,32
,,充电光束	打雷		逃脱按键,155,79.08%,32
,,闪电猛冲	抛物面充电	伤药	,66,77.65%,12
,,充电光束	抛物面充电	逃脱按键,48,78.69%,13
,,充电光束	打雷		速度强化,29,80.56%,4
,,充电光束	打雷		攻击强化,16,69.57%,2
,,闪电猛冲	抛物面充电	攻击强化,6,75.0%,2
,,闪电猛冲	抛物面充电	万灵药,6,75.0%,3
,,充电光束	打雷		伤药	,6,54.55%,1
,,充电光束	抛物面充电	攻击强化,4,80.0%,1
,,充电光束	抛物面充电	脱壳忍者玩偶,2,100.0%,1
,,充电光束	抛物面充电	速度强化,1,100.0%,1
,,充电光束	打雷		脱壳忍者玩偶,1,100.0%,1
,,闪电猛冲	打雷		逃脱按键,1,100.0%,1
,,闪电猛冲	打雷		伤药	,0,0.0%,3
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,351,76.97%,27
,,咒术熏香	穿透汤匙	讲究眼镜,91,76.47%,12
,,博识眼镜	咒术熏香	穿透汤匙,75,81.52%,6
,,博识眼镜	穿透汤匙	进击眼镜,14,56.0%,3
,,穿透汤匙	讲究眼镜	进击眼镜,9,90.0%,3
,,亿奥斯饼干	穿透汤匙	进击眼镜,4,80.0%,3
,,气势头带	穿透汤匙	讲究眼镜,5,83.33%,2
,,博识眼镜	穿透汤匙	贝壳之铃,2,100.0%,2
,,博识眼镜	咒术熏香	讲究眼镜,0,0.0%,2
,,博识眼镜	讲究眼镜	贝壳之铃,24,64.86%,1
,,共鸣护盾	博识眼镜	穿透汤匙,3,60.0%,1
,,亿奥斯饼干	共鸣护盾	穿透汤匙,1,100.0%,1
,,共鸣护盾	穿透汤匙	讲究眼镜,0,0.0%,1
4,朽木妖,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,107,7.14%,556,75.14%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,M.BHARATHI,65,80.25%
,,°कलयुग?,40,78.43%
,,Tatya_Bichhú,33,84.62%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,木槌		木角		逃脱按键,296,74.75%,62
,,咒术		木角		伤药	,86,77.48%,9
,,咒术		木角		速度强化,63,70.0%,11
,,木槌		木角		速度强化,59,79.73%,21
,,木槌		木角		伤药	,27,81.82%,8
,,咒术		木角		逃脱按键,12,75.0%,9
,,咒术		分担痛楚	速度强化,8,88.89%,4
,,咒术		分担痛楚	伤药	,5,45.45%,5
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,共鸣护盾	学习装置	气势头带,200,81.3%,28
,,亿奥斯饼干	学习装置	气势头带,104,73.24%,23
,,亿奥斯饼干	气势头带	猛攻哑铃,96,76.19%,14
,,弱点保险	气势头带	猛攻哑铃,20,71.43%,8
,,学习装置	气势头带	轻石,10,55.56%,6
,,亿奥斯饼干	共鸣护盾	猛攻哑铃,2,25.0%,5
,,亿奥斯饼干	弱点保险	猛攻哑铃,44,78.57%,3
,,学习装置	救援屏障	气势头带,10,76.92%,3
,,学习装置	气势头带	猛攻哑铃,8,88.89%,3
,,亿奥斯饼干	共鸣护盾	学习装置,14,63.64%,2
,,共鸣护盾	气势头带	猛攻哑铃,6,66.67%,2
,,学习装置	弱点保险	气势头带,5,71.43%,2
,,咒术手镯	气势头带	猛攻哑铃,17,65.38%,1
,,咒术手镯	学习装置	气势头带,7,53.85%,1
,,共鸣护盾	猛攻哑铃	锐利之爪,4,80.0%,1
,,亿奥斯饼干	咒术手镯	猛攻哑铃,4,57.14%,1
,,共鸣护盾	学习装置	救援屏障,2,100.0%,1
,,亿奥斯饼干	弱点保险	气势头带,1,100.0%,1
,,共鸣护盾	咒术手镯	学习装置,1,100.0%,1
,,共鸣护盾	学习装置	弱点保险,1,100.0%,1
5,嘟嘟利,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,74,5.34%,395,71.43%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,rоck_bottom,69,80.23%
,,yumi_umi,36,72.0%
,,Riсe,29,82.86%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,三重攻击	飞踢		万灵药,209,72.32%,46
,,啄钻		飞踢		万灵药,73,66.97%,21
,,三重攻击	飞踢		伤药	,58,72.5%,15
,,三重攻击	高速移动	速度强化,36,72.0%,1
,,三重攻击	高速移动	万灵药,15,83.33%,9
,,啄钻		飞踢		伤药	,1,100.0%,1
,,三重攻击	高速移动	伤药	,1,100.0%,1
,,啄钻		高速移动	伤药	,1,50.0%,1
,,啄钻		飞踢		逃脱按键,1,33.33%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,充能坠饰	猛攻哑铃	锐利之爪,250,73.53%,46
,,猛攻哑铃	轻石	锐利之爪,62,65.26%,11
,,充能坠饰	猛攻哑铃	轻石,21,61.76%,11
,,亿奥斯饼干	猛攻哑铃	锐利之爪,34,85.0%,3
,,亿奥斯饼干	充能坠饰	猛攻哑铃,23,69.7%,2
,,猛攻哑铃	能量增幅器	锐利之爪,5,45.45%,1
6,古月鸟,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,93,4.73%,369,75.31%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,다디디디ㅣ,49,79.03%
,,КаяСузуки,48,81.36%
,,みかまろぽん,42,72.41%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,潜水		空气之刃	逃脱按键,214,76.43%,63
,,潜水		暴风		逃脱按键,88,77.88%,22
,,潜水		暴风		攻击强化,28,68.29%,1
,,冲浪		暴风		逃脱按键,22,64.71%,22
,,潜水		空气之刃	攻击强化,14,82.35%,1
,,冲浪		空气之刃	逃脱按键,2,100.0%,2
,,潜水		空气之刃	速度强化,1,50.0%,1
,,冲浪		暴风		速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,穿透汤匙	能量增幅器	讲究眼镜,172,77.13%,37
,,咒术熏香	穿透汤匙	能量增幅器,105,80.15%,12
,,博识眼镜	穿透汤匙	讲究眼镜,29,78.38%,8
,,博识眼镜	穿透汤匙	能量增幅器,12,54.55%,5
,,咒术熏香	穿透汤匙	讲究眼镜,3,50.0%,5
,,救援屏障	穿透汤匙	能量增幅器,8,72.73%,4
,,穿透汤匙	讲究眼镜	进击眼镜,11,78.57%,3
,,穿透汤匙	能量增幅器	进击眼镜,7,63.64%,2
,,救援屏障	穿透汤匙	讲究眼镜,4,80.0%,2
,,咒术熏香	气势头带	穿透汤匙,3,60.0%,2
,,博识眼镜	咒术熏香	穿透汤匙,1,33.33%,2
,,博识眼镜	能量增幅器	贝壳之铃,5,100.0%,1
,,博识眼镜	救援屏障	穿透汤匙,3,100.0%,1
,,咒术熏香	穿透汤匙	进击眼镜,2,100.0%,1
,,博识眼镜	穿透汤匙	进击眼镜,1,100.0%,1
,,气势头带	穿透汤匙	能量增幅器,1,50.0%,1
,,博识眼镜	讲究眼镜	进击眼镜,1,50.0%,1
,,亿奥斯饼干	穿透汤匙	进击眼镜,1,33.33%,1
,,穿透汤匙	能量增幅器	贝壳之铃,0,0.0%,1
,,咒术熏香	救援屏障	讲究眼镜,0,0.0%,1
,,气势头带	穿透汤匙	讲究眼镜,0,0.0%,1
,,亿奥斯饼干	能量增幅器	进击眼镜,0,0.0%,1
7,月亮伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,90,4.44%,332,72.17%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,VND乡BaoWiBu,34,70.83%
,,Rago宿敵,31,64.58%
,,Marpher.,24,82.76%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,黑色目光	祈愿		速度强化,95,72.52%,28
,,移花接木	大声咆哮	速度强化,91,71.09%,35
,,移花接木	祈愿		速度强化,77,80.21%,21
,,移花接木	大声咆哮	逃脱按键,15,83.33%,4
,,黑色目光	大声咆哮	速度强化,12,60.0%,9
,,黑色目光	祈愿		伤药	,8,66.67%,3
,,移花接木	祈愿		伤药	,7,77.78%,2
,,黑色目光	祈愿		迟缓烟雾,6,75.0%,1
,,黑色目光	祈愿		攻击强化,6,60.0%,1
,,移花接木	祈愿		逃脱按键,6,50.0%,7
,,黑色目光	祈愿		逃脱按键,5,62.5%,4
,,黑色目光	大声咆哮	逃脱按键,2,50.0%,4
,,黑色目光	大声咆哮	伤药	,1,50.0%,2
,,移花接木	大声咆哮	伤药	,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,亿奥斯饼干	学习装置	气势头带,54,71.05%,20
,,共鸣护盾	学习装置	气势头带,84,65.62%,15
,,学习装置	气势头带	猛攻哑铃,74,82.22%,13
,,亿奥斯饼干	学习装置	猛攻哑铃,19,73.08%,7
,,共鸣护盾	学习装置	猛攻哑铃,14,77.78%,5
,,学习装置	气势头带	轻石,7,58.33%,5
,,学习装置	救援屏障	气势头带,31,77.5%,4
,,学习装置	援助头巾	猛攻哑铃,4,57.14%,4
,,亿奥斯饼干	气势头带	猛攻哑铃,14,73.68%,3
,,共鸣护盾	学习装置	救援屏障,13,86.67%,3
,,力量头带	气势头带	猛攻哑铃,5,50.0%,1
,,学习装置	弱点保险	猛攻哑铃,4,80.0%,1
,,力量头带	学习装置	气势头带,3,100.0%,1
,,亿奥斯饼干	弱点保险	猛攻哑铃,1,100.0%,1
,,学习装置	气势头带	突击背心,1,100.0%,1
,,共鸣护盾	学习装置	弱点保险,1,100.0%,1
,,气势头带	猛攻哑铃	连打围巾,1,100.0%,1
,,学习装置	救援屏障	猛攻哑铃,1,50.0%,1
,,亿奥斯饼干	共鸣护盾	猛攻哑铃,1,33.33%,1
,,力量头带	学习装置	猛攻哑铃,0,0.0%,1
,,猛攻哑铃	连打围巾	锐利之爪,0,0.0%,1
8,超梦Y,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,52,4.41%,345,75.49%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,SS・SutraBB,85,79.44%
,,ムスティー,61,62.24%
,,竜舞サナ,41,93.18%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,预知未来	瞬间移动	攻击强化,158,75.24%,24
,,预知未来	瞬间移动	速度强化,85,79.44%,1
,,精神击破	瞬间移动	攻击强化,75,74.26%,26
,,精神击破	瞬间移动	逃脱按键,16,66.67%,6
,,预知未来	瞬间移动	逃脱按键,6,75.0%,2
,,预知未来	自我再生	攻击强化,2,100.0%,2
,,精神击破	自我再生	逃脱按键,1,100.0%,1
,,精神击破	瞬间移动	速度强化,1,100.0%,1
,,精神击破	自我再生	攻击强化,1,50.0%,2
,,预知未来	自我再生	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
9,叶伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,97,4.29%,320,71.91%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ELPINTACARAS,53,68.83%
,,Crepeメ,35,89.74%
,,SunKloud111,26,66.67%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,日光刃	燕返		逃脱按键,105,70.0%,23
,,日光刃	叶刃		逃脱按键,63,71.59%,40
,,飞叶快刀	燕返		逃脱按键,60,66.67%,24
,,日光刃	燕返		速度强化,35,87.5%,2
,,飞叶快刀	燕返		伤药	,23,92.0%,3
,,飞叶快刀	燕返		攻击强化,19,76.0%,17
,,飞叶快刀	燕返		速度强化,7,77.78%,1
,,日光刃	叶刃		万灵药,2,66.67%,1
,,飞叶快刀	叶刃		速度强化,1,100.0%,1
,,日光刃	燕返		脱壳忍者玩偶,1,100.0%,1
,,飞叶快刀	叶刃		逃脱按键,1,100.0%,1
,,日光刃	叶刃		攻击强化,1,33.33%,3
,,飞叶快刀	叶刃		万灵药,1,33.33%,1
,,日光刃	叶刃		速度强化,1,33.33%,2
,,日光刃	燕返		攻击强化,0,0.0%,2
,,日光刃	燕返		伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,充能坠饰	猛攻哑铃	能量增幅器,168,71.49%,32
,,猛攻哑铃	能量增幅器	锐利之爪,40,64.52%,22
,,充能坠饰	猛攻哑铃	锐利之爪,81,79.41%,12
,,弱点保险	猛攻哑铃	锐利之爪,6,60.0%,9
,,充能坠饰	猛攻哑铃	轻石,10,66.67%,7
,,猛攻哑铃	能量增幅器	轻石,6,85.71%,5
,,救援屏障	猛攻哑铃	能量增幅器,3,60.0%,4
,,猛攻哑铃	轻石	锐利之爪,2,50.0%,3
,,充能坠饰	学习装置	锐利之爪,2,66.67%,1
,,充能坠饰	能量增幅器	轻石,1,100.0%,1
,,充能坠饰	救援屏障	猛攻哑铃,1,100.0%,1
10,列阵兵,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,66,4.24%,332,75.63%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,闇の筋肉,64,90.14%
,,뭐든지다잘함,44,80.0%
,,XTG.JJong,31,79.49%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,铁头		背水一战	速度强化,158,78.61%,31
,,铁头		背水一战	逃脱按键,79,72.48%,14
,,铁头		背水一战	攻击强化,59,71.08%,15
,,铁头		围攻		速度强化,15,88.24%,7
,,铁头		背水一战	万灵药,8,72.73%,2
,,超级角击	背水一战	逃脱按键,6,75.0%,7
,,超级角击	背水一战	速度强化,3,75.0%,2
,,铁头		背水一战	伤药	,1,100.0%,1
,,铁头		围攻		万灵药,1,100.0%,1
,,铁头		背水一战	脱壳忍者玩偶,1,100.0%,1
,,铁头		围攻		攻击强化,1,100.0%,1
,,铁头		围攻		逃脱按键,0,0.0%,1
,,超级角击	围攻		万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	猛攻哑铃	锐利之爪,92,68.66%,24
,,弱点保险	气势头带	猛攻哑铃,152,81.28%,12
,,力量头带	弱点保险	猛攻哑铃,21,75.0%,11
,,咒术手镯	猛攻哑铃	锐利之爪,15,88.24%,3
,,力量头带	猛攻哑铃	锐利之爪,7,87.5%,3
,,焦点镜	猛攻哑铃	锐利之爪,6,85.71%,2
,,亿奥斯饼干	力量头带	猛攻哑铃,2,66.67%,2
,,气势头带	猛攻哑铃	锐利之爪,1,33.33%,2
,,咒术手镯	弱点保险	猛攻哑铃,13,92.86%,1
,,亿奥斯饼干	弱点保险	猛攻哑铃,12,66.67%,1
,,力量头带	弱点保险	锐利之爪,5,71.43%,1
,,充能坠饰	气势头带	猛攻哑铃,5,62.5%,1
,,弱点保险	焦点镜	猛攻哑铃,1,50.0%,1
,,共鸣护盾	弱点保险	猛攻哑铃,0,0.0%,1
,,力量头带	焦点镜	猛攻哑铃,0,0.0%,1
11,索罗亚克,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,74,4.06%,285,67.7%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,게임은중대사,41,68.33%
,,限界大生こた,28,90.32%
,,Bandolerø,25,65.79%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗袭要害	居合劈	万灵药,216,69.01%,64
,,出奇一击	暗影爪	万灵药,51,65.38%,8
,,暗袭要害	暗影爪	万灵药,10,71.43%,10
,,暗袭要害	居合劈	逃脱按键,7,63.64%,3
,,出奇一击	居合劈	万灵药,1,33.33%,3
,,暗袭要害	居合劈	伤药	,0,0.0%,1
,,暗袭要害	居合劈	攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	气势头带	猛攻哑铃,182,66.67%,48
,,力量头带	连打围巾	锐利之爪,45,63.38%,4
,,力量头带	猛攻哑铃	连打围巾,9,75.0%,3
,,气势头带	猛攻哑铃	锐利之爪,2,66.67%,3
,,弱点保险	猛攻哑铃	轻石,17,94.44%,2
