,一共游戏场数,10889
1,超梦Y,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,177,45.16%,3850,78.3%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Xlucariø,129,88.36%
,,MynameNoname,124,77.99%
,,ふぃくしよん,113,83.09%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,预知未来	自我再生	攻击强化,2321,79.35%,116
,,预知未来	瞬间移动	攻击强化,935,78.31%,83
,,预知未来	自我再生	逃脱按键,199,74.25%,27
,,预知未来	瞬间移动	逃脱按键,86,71.07%,15
,,预知未来	自我再生	速度强化,79,78.22%,8
,,精神击破	自我再生	攻击强化,58,77.33%,19
,,精神击破	自我再生	逃脱按键,56,82.35%,5
,,精神击破	瞬间移动	逃脱按键,39,70.91%,8
,,精神击破	瞬间移动	攻击强化,34,73.91%,16
,,预知未来	瞬间移动	速度强化,28,68.29%,3
,,预知未来	瞬间移动	万灵药,4,100.0%,2
,,预知未来	自我再生	万灵药,4,57.14%,3
,,精神击破	自我再生	速度强化,3,75.0%,2
,,预知未来	自我再生	伤药	,2,100.0%,2
,,预知未来	瞬间移动	伤药	,2,66.67%,1
,,精神击破	瞬间移动	速度强化,0,0.0%,2
,,精神击破	瞬间移动	脱壳忍者玩偶,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
2,幸福蛋,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,94,11.7%,1015,79.67%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,HännaH,113,70.62%
,,E7・Joy,81,90.0%
,,はいふー,79,84.04%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,帮助		神秘守护	速度强化,703,82.32%,61
,,帮助		神秘守护	伤药	,137,71.35%,8
,,炸蛋		生蛋		速度强化,68,76.4%,27
,,帮助		神秘守护	逃脱按键,51,82.26%,9
,,帮助		生蛋		速度强化,27,75.0%,7
,,帮助		神秘守护	迟缓烟雾,11,91.67%,2
,,帮助		生蛋		逃脱按键,7,77.78%,1
,,炸蛋		生蛋		逃脱按键,3,75.0%,3
,,炸蛋		神秘守护	速度强化,2,66.67%,2
,,炸蛋		生蛋		伤药	,2,33.33%,2
,,炸蛋		神秘守护	逃脱按键,1,100.0%,1
,,炸蛋		生蛋		迟缓烟雾,1,100.0%,1
,,炸蛋		神秘守护	伤药	,1,50.0%,2
,,帮助		生蛋		迟缓烟雾,1,50.0%,1
,,帮助		生蛋		伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	救援屏障	气势头带,734,78.34%,55
,,学习装置	救援屏障	能量增幅器,138,88.46%,10
,,博识眼镜	学习装置	救援屏障,14,87.5%,4
,,学习装置	气势头带	进击眼镜,10,100.0%,3
,,学习装置	援助头巾	救援屏障,53,81.54%,2
,,博识眼镜	学习装置	气势头带,10,90.91%,2
,,学习装置	气势头带	能量增幅器,7,87.5%,2
,,学习装置	救援屏障	进击眼镜,6,66.67%,2
,,学习装置	援助头巾	气势头带,10,71.43%,1
,,学习装置	救援屏障	讲究眼镜,9,81.82%,1
,,学习装置	救援屏障	贝壳之铃,3,100.0%,1
,,吃剩的东西	学习装置	救援屏障,3,100.0%,1
