,一共游戏场数,6381
1,魔墙人偶,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,54,11.41%,512,70.33%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,iDestroyU,99,66.89%
,,1LevUP,72,74.23%
,,FRS_Yoppy,55,83.33%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,念力		力量互换	速度强化,457,69.77%,41
,,念力		力量互换	逃脱按键,27,79.41%,3
,,念力		屏障		速度强化,13,86.67%,8
,,精神强念	力量互换	速度强化,5,83.33%,5
,,念力		屏障		逃脱按键,5,55.56%,1
,,念力		力量互换	伤药	,3,75.0%,3
,,念力		屏障		伤药	,2,50.0%,3
,,念力		力量互换	得分加速装置,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	进击眼镜	气势头带,419,69.26%,40
,,救援屏障	进击眼镜	气势头带,23,76.67%,4
,,讲究眼镜	进击眼镜	博识眼镜,7,53.85%,3
,,能量增幅器	进击眼镜	气势头带,4,80.0%,2
,,进击眼镜	学习装置	气势头带,55,83.33%,1
,,进击眼镜	气势头带	博识眼镜,2,50.0%,1
,,能量增幅器	救援屏障	进击眼镜,1,100.0%,1
,,讲究眼镜	能量增幅器	气势头带,1,33.33%,1
,,亿奥斯饼干	进击眼镜	气势头带,0,0.0%,1
2,甜冷美后,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,55,11.02%,498,70.84%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ラティアス,69,73.4%
,,ソロ辞めたい,61,72.62%
,,XGM_Kakigoya,38,76.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,三旋击	青草滑梯	攻击强化,141,72.68%,9
,,踩踏		青草滑梯	攻击强化,98,67.59%,19
,,踩踏		青草滑梯	万灵药,87,70.16%,21
,,踩踏		热带踢	万灵药,68,77.27%,15
,,踩踏		热带踢	攻击强化,34,56.67%,10
,,三旋击	热带踢	万灵药,21,77.78%,4
,,踩踏		青草滑梯	速度强化,15,93.75%,3
,,三旋击	青草滑梯	万灵药,14,66.67%,13
,,三旋击	热带踢	攻击强化,8,66.67%,4
,,踩踏		青草滑梯	逃脱按键,5,100.0%,2
,,踩踏		热带踢	速度强化,4,66.67%,3
,,踩踏		热带踢	伤药	,2,50.0%,2
,,三旋击	青草滑梯	速度强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	气势头带	弱点保险,436,70.1%,41
,,猛攻哑铃	气势头带	力量头带,7,70.0%,4
