,一共游戏场数,6158
1,苍响,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,56,38.62%,2031,85.41%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,シュビー.,124,81.58%
,,*美トッポ*,120,83.92%
,,TRU・Angel,98,98.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,圣剑		高速移动	逃脱按键,1115,87.18%,32
,,圣剑		高速移动	万灵药,800,84.03%,35
,,金属爪	高速移动	万灵药,33,84.62%,9
,,圣剑		高速移动	攻击强化,26,78.79%,3
,,金属爪	高速移动	逃脱按键,25,78.12%,12
,,圣剑		嬉闹		万灵药,18,72.0%,7
,,圣剑		嬉闹		逃脱按键,8,80.0%,5
,,金属爪	嬉闹		万灵药,4,80.0%,5
,,圣剑		高速移动	速度强化,1,100.0%,1
,,金属爪	高速移动	攻击强化,1,50.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	焦点镜	腐朽的剑,800,82.22%,15
,,焦点镜	腐朽的剑	锐利之爪,324,86.4%,11
,,焦点镜	猛攻哑铃	腐朽的剑,432,92.31%,7
,,力量头带	腐朽的剑	锐利之爪,152,84.92%,4
,,力量头带	气势头带	腐朽的剑,74,97.37%,3
,,力量头带	弱点保险	腐朽的剑,44,88.0%,3
,,焦点镜	腐朽的剑	连打围巾,73,79.35%,2
,,猛攻哑铃	腐朽的剑	锐利之爪,55,94.83%,2
,,弱点保险	焦点镜	腐朽的剑,19,90.48%,2
,,弱点保险	气势头带	腐朽的剑,10,76.92%,2
,,气势头带	腐朽的剑	连打围巾,20,64.52%,1
,,焦点镜	能量增幅器	腐朽的剑,16,80.0%,1
,,气势头带	猛攻哑铃	腐朽的剑,10,62.5%,1
,,力量头带	腐朽的剑	连打围巾,2,66.67%,1
,,学习装置	气势头带	腐朽的剑,0,0.0%,1
2,花疗环环,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,60,15.25%,793,84.45%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,野田和次郎,75,79.79%
,,Oath・BeastF,51,92.73%
,,Blacк.Swaи,42,75.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,花疗		魔法叶	迟缓烟雾,546,84.13%,52
,,花疗		打草结	迟缓烟雾,77,83.7%,15
,,花疗		魔法叶	速度强化,64,81.01%,4
,,花疗		魔法叶	逃脱按键,36,94.74%,4
,,花疗		魔法叶	向尾喵的尾巴,35,94.59%,1
,,天使之吻	魔法叶	迟缓烟雾,10,71.43%,10
,,花疗		打草结	逃脱按键,8,100.0%,1
,,天使之吻	打草结	迟缓烟雾,8,72.73%,5
,,花疗		魔法叶	伤药	,3,100.0%,2
,,花疗		魔法叶	攻击强化,3,100.0%,1
,,花疗		打草结	速度强化,2,50.0%,3
,,花疗		打草结	伤药	,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	援助头巾	救援屏障,249,79.55%,14
,,博识眼镜	学习装置	援助头巾,89,89.9%,12
,,学习装置	援助头巾	进击眼镜,165,91.16%,9
,,博识眼镜	讲究眼镜	进击眼镜,88,78.57%,6
,,学习装置	救援屏障	进击眼镜,45,93.75%,5
,,博识眼镜	学习装置	救援屏障,41,77.36%,5
,,博识眼镜	学习装置	进击眼镜,39,90.7%,2
,,学习装置	救援屏障	能量增幅器,16,69.57%,2
,,学习装置	救援屏障	讲究眼镜,3,100.0%,2
,,博识眼镜	援助头巾	讲究眼镜,51,92.73%,1
,,博识眼镜	学习装置	贝壳之铃,6,75.0%,1
,,学习装置	讲究眼镜	贝壳之铃,1,100.0%,1
3,梦幻,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,63,12.39%,664,87.02%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ま・しお,84,94.38%
,,Ansh_Blade,44,100.0%
,,iamTomato,41,78.85%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,日光束	光墙		逃脱按键,326,87.87%,49
,,电球		高速移动	逃脱按键,128,89.51%,34
,,冲浪		高速移动	逃脱按键,113,81.88%,41
,,日光束	高速移动	逃脱按键,26,86.67%,12
,,电球		指导		逃脱按键,17,100.0%,11
,,日光束	光墙		万灵药,12,85.71%,2
,,电球		光墙		逃脱按键,11,78.57%,11
,,冲浪		高速移动	万灵药,10,100.0%,1
,,冲浪		光墙		逃脱按键,5,83.33%,4
,,日光束	光墙		速度强化,4,80.0%,2
,,冲浪		高速移动	速度强化,3,75.0%,3
,,日光束	光墙		攻击强化,2,100.0%,1
,,冲浪		指导		逃脱按键,2,66.67%,3
,,电球		光墙		攻击强化,1,100.0%,1
,,电球		高速移动	速度强化,1,100.0%,1
,,电球		高速移动	攻击强化,1,100.0%,1
,,日光束	高速移动	攻击强化,1,100.0%,1
,,电球		光墙		万灵药,1,50.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	讲究眼镜	进击眼镜,164,84.97%,18
,,博识眼镜	讲究眼镜	贝壳之铃,175,86.63%,17
,,博识眼镜	穿透汤匙	讲究眼镜,186,88.15%,15
,,穿透汤匙	讲究眼镜	进击眼镜,55,91.67%,5
,,博识眼镜	穿透汤匙	进击眼镜,42,89.36%,3
,,博识眼镜	穿透汤匙	贝壳之铃,39,86.67%,2
,,亿奥斯饼干	博识眼镜	讲究眼镜,2,100.0%,1
,,学习装置	穿透汤匙	讲究眼镜,1,50.0%,1
,,气势头带	讲究眼镜	进击眼镜,0,0.0%,1
4,太阳伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,62,11.11%,605,88.45%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,RoseTheHat,72,90.0%
,,Solonyツ,50,89.29%
,,Yûtao爱,36,92.31%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,精神冲击	幻象光线	逃脱按键,473,88.41%,48
,,精神冲击	预知未来	逃脱按键,95,94.06%,26
,,精神冲击	幻象光线	速度强化,18,78.26%,6
