,一共游戏场数,4038
1,阿勃梭鲁,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,73,11.44%,336,72.73%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,不可視y2__,19,73.08%
,,ʚクルーɞ,17,85.0%
,,Mufasa°,16,76.19%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,追打		精神利刃	万灵药,129,75.88%,34
,,追打		精神利刃	逃脱按键,49,73.13%,13
,,暗袭要害	精神利刃	万灵药,46,66.67%,25
,,追打		精神利刃	攻击强化,38,79.17%,7
,,暗袭要害	精神利刃	攻击强化,17,60.71%,9
,,追打		突袭		万灵药,16,64.0%,11
,,暗袭要害	精神利刃	逃脱按键,12,80.0%,6
,,追打		精神利刃	速度强化,10,83.33%,1
,,追打		突袭		逃脱按键,7,70.0%,6
,,追打		突袭		攻击强化,4,100.0%,3
,,暗袭要害	突袭		万灵药,3,75.0%,1
,,追打		精神利刃	伤药	,3,75.0%,2
,,追打		突袭		速度强化,2,50.0%,1
,,追打		突袭		伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,增速护腕	焦点镜	锐利之爪,237,72.04%,44
,,焦点镜	猛攻哑铃	锐利之爪,27,71.05%,10
,,增速护腕	焦点镜	猛攻哑铃,29,80.56%,8
,,增速护腕	焦点镜	能量增幅器,14,82.35%,3
,,增速护腕	猛攻哑铃	锐利之爪,3,50.0%,3
,,焦点镜	能量增幅器	锐利之爪,18,75.0%,2
,,力量头带	焦点镜	锐利之爪,4,66.67%,1
,,焦点镜	猛攻哑铃	能量增幅器,2,66.67%,1
,,气势头带	焦点镜	锐利之爪,2,66.67%,1
2,魔幻假面喵,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,52,10.45%,294,69.67%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,不可視y2__,28,70.0%
,,</>メLara.,26,81.25%
,,FL覚醒ましお,24,80.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,千变万花	影子分身	逃脱按键,239,69.08%,46
,,暗袭要害	起草		万灵药,24,70.59%,3
,,暗袭要害	起草		逃脱按键,18,85.71%,4
,,千变万花	影子分身	攻击强化,10,71.43%,3
,,千变万花	影子分身	脱壳忍者玩偶,2,40.0%,2
,,暗袭要害	起草		攻击强化,1,100.0%,1
,,千变万花	起草		逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,增速护腕	猛攻哑铃	锐利之爪,226,70.19%,34
,,充能坠饰	增速护腕	猛攻哑铃,24,68.57%,6
,,增速护腕	猛攻哑铃	能量增幅器,19,73.08%,3
,,充能坠饰	猛攻哑铃	锐利之爪,7,70.0%,2
,,充能坠饰	猛攻哑铃	能量增幅器,1,33.33%,2
,,弱点保险	焦点镜	猛攻哑铃,13,68.42%,1
,,增速护腕	弱点保险	猛攻哑铃,2,50.0%,1
,,猛攻哑铃	能量增幅器	锐利之爪,1,100.0%,1
,,力量头带	增速护腕	焦点镜,1,100.0%,1
,,焦点镜	猛攻哑铃	锐利之爪,0,0.0%,1
3,捷拉奥拉,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,67,10.05%,291,71.67%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ENOCSeVra¿,18,85.71%
,,健步如飞,18,72.0%
,,</>メAladeen,16,72.73%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,伏特替换	放电		万灵药,196,71.27%,54
,,电光		疯狂伏特	万灵药,34,70.83%,14
,,伏特替换	放电		攻击强化,24,75.0%,4
,,电光		放电		万灵药,18,69.23%,17
,,电光		疯狂伏特	攻击强化,10,90.91%,5
,,电光		放电		攻击强化,5,71.43%,3
,,伏特替换	疯狂伏特	万灵药,3,60.0%,1
,,伏特替换	疯狂伏特	攻击强化,1,100.0%,1
,,电光		疯狂伏特	脱壳忍者玩偶,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,增速护腕	弱点保险	气势头带,83,74.77%,16
,,增速护腕	气势头带	锐利之爪,33,68.75%,10
,,力量头带	增速护腕	气势头带,49,77.78%,8
,,力量头带	弱点保险	气势头带,18,54.55%,5
,,增速护腕	弱点保险	锐利之爪,14,63.64%,5
,,弱点保险	气势头带	锐利之爪,9,90.0%,3
,,增速护腕	气势头带	连打围巾,9,90.0%,2
,,增速护腕	能量增幅器	锐利之爪,9,90.0%,2
,,增速护腕	猛攻哑铃	锐利之爪,6,100.0%,2
,,弱点保险	气势头带	连打围巾,5,50.0%,2
,,增速护腕	气势头带	猛攻哑铃,1,50.0%,2
,,增速护腕	救援屏障	气势头带,11,91.67%,1
,,能量增幅器	连打围巾	锐利之爪,11,73.33%,1
,,力量头带	增速护腕	能量增幅器,7,53.85%,1
,,增速护腕	气势头带	能量增幅器,4,66.67%,1
,,弱点保险	连打围巾	锐利之爪,2,100.0%,1
,,增速护腕	弱点保险	猛攻哑铃,2,66.67%,1
,,救援屏障	气势头带	连打围巾,0,0.0%,1
,,力量头带	增速护腕	弱点保险,0,0.0%,1
,,力量头带	气势头带	连打围巾,0,0.0%,1
4,烈箭鹰,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,71,9.96%,277,68.91%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,</>メAladeen,35,77.78%
,,人類の宝TOMY,32,76.19%
,,LG・SIMIN,21,84.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,蓄能焰袭	飞翔		逃脱按键,148,64.07%,57
,,燕返		勇鸟猛攻	逃脱按键,81,74.31%,28
,,燕返		勇鸟猛攻	攻击强化,22,84.62%,3
,,蓄能焰袭	飞翔		攻击强化,14,66.67%,1
,,燕返		勇鸟猛攻	万灵药,10,76.92%,5
,,蓄能焰袭	飞翔		万灵药,1,100.0%,1
,,燕返		飞翔		逃脱按键,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,增速护腕	猛攻哑铃	锐利之爪,132,67.69%,39
,,充能坠饰	猛攻哑铃	锐利之爪,25,55.56%,13
,,充能坠饰	增速护腕	猛攻哑铃,59,74.68%,8
,,充能坠饰	增速护腕	锐利之爪,50,75.76%,5
,,充能坠饰	增速护腕	轻石,4,44.44%,1
,,力量头带	增速护腕	锐利之爪,3,100.0%,1
,,充能坠饰	猛攻哑铃	轻石,2,100.0%,1
,,猛攻哑铃	轻石	锐利之爪,1,100.0%,1
,,增速护腕	学习装置	猛攻哑铃,0,0.0%,1
5,暴鲤龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,46,8.15%,241,73.25%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,MYSヤYupono,54,87.1%
,,蝶恋瑠*,36,72.0%
,,Ѕolaris,15,88.24%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,龙息		攀瀑		伤药	,166,71.86%,37
,,龙息		弹跳		逃脱按键,57,76.0%,19
,,龙息		弹跳		伤药	,9,90.0%,10
,,龙息		攀瀑		逃脱按键,6,60.0%,8
,,龙息		攀瀑		万灵药,3,100.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,凸凸头盔	气势头带	猛攻哑铃,58,71.6%,15
,,凸凸头盔	增速护腕	气势头带,21,67.74%,5
,,增速护腕	气势头带	猛攻哑铃,38,71.7%,3
,,增速护腕	猛攻哑铃	能量增幅器,61,81.33%,2
,,力量头带	增速护腕	猛攻哑铃,15,83.33%,2
,,力量头带	猛攻哑铃	锐利之爪,15,83.33%,2
,,力量头带	气势头带	锐利之爪,3,100.0%,2
,,力量头带	气势头带	猛攻哑铃,1,50.0%,2
,,气势头带	猛攻哑铃	突击背心,9,81.82%,1
,,凸凸头盔	猛攻哑铃	锐利之爪,8,72.73%,1
,,力量头带	弱点保险	锐利之爪,2,100.0%,1
,,增速护腕	弱点保险	猛攻哑铃,2,50.0%,1
,,凸凸头盔	力量头带	猛攻哑铃,1,100.0%,1
,,力量头带	增速护腕	锐利之爪,1,100.0%,1
,,力量头带	弱点保险	猛攻哑铃,1,100.0%,1
,,共鸣护盾	凸凸头盔	学习装置,1,50.0%,1
,,弱点保险	气势头带	猛攻哑铃,1,50.0%,1
,,凸凸头盔	力量头带	气势头带,1,25.0%,1
