排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,梦幻,51,34.83%,0.0%,638,73.25%
2,魔墙人偶,52,31.35%,0.0%,587,74.87%
3,冰伊布,43,16.67%,0.0%,313,75.06%
4,阿勃梭鲁,34,11.32%,0.0%,220,77.74%
5,路卡利欧,35,11.2%,0.0%,203,72.5%
6,坚盾剑怪,31,7.0%,0.0%,134,76.57%
7,耿鬼,22,6.84%,0.0%,139,81.29%
8,卡比兽,27,6.28%,0.0%,121,77.07%
9,甜冷美后,25,5.68%,0.0%,117,82.39%
10,班基拉斯,15,5.56%,0.0%,103,74.1%
11,甲贺忍蛙,28,5.12%,0.0%,83,64.84%
12,藏饱栗鼠,20,4.76%,0.0%,90,75.63%
13,烈箭鹰,20,4.48%,0.0%,83,74.11%
14,古月鸟,17,4.08%,0.0%,83,81.37%
15,喷火龙,18,3.56%,0.0%,66,74.16%
16,幸福蛋,17,3.32%,0.0%,68,81.93%
17,怪力,23,3.0%,0.0%,48,64.0%
18,胡帕,5,2.8%,0.0%,49,70.0%
19,太阳伊布,14,2.76%,0.0%,50,72.46%
20,闪焰王牌,9,2.68%,0.0%,50,74.63%
21,妖火红狐,15,2.56%,0.0%,50,78.12%
22,爆肌蚊,9,1.76%,0.0%,28,63.64%
23,妙蛙花,7,1.56%,0.0%,26,66.67%
24,狙射树枭,7,1.36%,0.0%,30,88.24%
25,朽木妖,11,1.16%,0.0%,21,72.41%
26,象牙猪,6,1.08%,0.0%,21,77.78%
27,快龙,12,1.04%,0.0%,13,50.0%
28,白蓬蓬,7,0.88%,0.0%,15,68.18%
29,烈咬陆鲨,7,0.76%,0.0%,12,63.16%
30,水箭龟,4,0.68%,0.0%,13,76.47%
31,捷拉奥拉,9,0.64%,0.0%,13,81.25%
32,仙子伊布,6,0.44%,0.0%,10,90.91%
33,阿罗拉九尾,4,0.4%,0.0%,8,80.0%
34,皮卡丘,5,0.36%,0.0%,4,44.44%
35,铝钢龙,3,0.24%,0.0%,5,83.33%
36,玛力露丽,5,0.2%,0.0%,4,80.0%
36,胖可丁,5,0.2%,0.0%,4,80.0%
36,呆壳兽,4,0.2%,0.0%,3,60.0%
36,岩殿居蟹,3,0.2%,0.0%,3,60.0%
40,沙奈朵,3,0.16%,0.0%,4,100.0%
