,一共游戏场数,3817
1,武道熊师,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,59,10.27%,278,70.92%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ʟxʏ,29,80.56%
,,てゃぁんじら,22,73.33%
,,ドSージョ,19,63.33%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,水流连打	水流裂破	万灵药,196,72.06%,46
,,暗冥强击	深渊突刺	逃脱按键,78,69.64%,37
,,水流连打	水流裂破	攻击强化,1,100.0%,1
,,暗冥强击	深渊突刺	得分区控制器,1,100.0%,1
,,暗冥强击	深渊突刺	速度强化,1,50.0%,2
,,暗冥强击	深渊突刺	万灵药,1,33.33%,3
,,暗冥强击	深渊突刺	迟缓烟雾,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	弱点保险	锐利之爪,190,70.9%,40
,,力量头带	猛攻哑铃	锐利之爪,57,71.25%,13
,,弱点保险	猛攻哑铃	锐利之爪,26,70.27%,3
,,力量头带	弱点保险	焦点镜,3,75.0%,1
,,力量头带	猛攻哑铃	能量增幅器,2,100.0%,1
,,气势头带	猛攻哑铃	锐利之爪,0,0.0%,1
2,红莲铠骑,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,55,8.99%,255,74.34%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,任义伟,33,80.49%
,,MyG_OP男小伟,20,83.33%
,,</>メYagbolz,17,65.38%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,铠农炮	精神冲击	逃脱按键,119,75.32%,35
,,火焰旋涡	蓄能焰袭	速度强化,49,76.56%,15
,,铠农炮	精神冲击	速度强化,39,72.22%,11
,,铠农炮	蓄能焰袭	逃脱按键,17,77.27%,13
,,铠农炮	蓄能焰袭	速度强化,13,65.0%,5
,,火焰旋涡	蓄能焰袭	逃脱按键,9,69.23%,5
,,铠农炮	精神冲击	万灵药,3,100.0%,1
,,铠农炮	蓄能焰袭	万灵药,3,50.0%,4
,,火焰旋涡	蓄能焰袭	万灵药,1,100.0%,1
,,火焰旋涡	蓄能焰袭	伤药	,1,100.0%,1
,,铠农炮	蓄能焰袭	得分区控制器,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,81,75.7%,23
,,咒术熏香	穿透汤匙	讲究眼镜,24,77.42%,5
,,博识眼镜	讲究眼镜	进击眼镜,9,75.0%,4
,,亿奥斯饼干	穿透汤匙	进击眼镜,8,57.14%,3
,,亿奥斯饼干	气势头带	进击眼镜,1,20.0%,3
,,气势头带	穿透汤匙	连打围巾,53,81.54%,2
,,博识眼镜	穿透汤匙	进击眼镜,10,83.33%,2
,,博识眼镜	咒术熏香	讲究眼镜,5,55.56%,2
,,穿透汤匙	讲究眼镜	进击眼镜,3,60.0%,2
,,博识眼镜	咒术熏香	贝壳之铃,17,65.38%,1
,,亿奥斯饼干	气势头带	穿透汤匙,14,82.35%,1
,,博识眼镜	讲究眼镜	贝壳之铃,10,71.43%,1
,,博识眼镜	气势头带	穿透汤匙,8,72.73%,1
,,力量头带	穿透汤匙	连打围巾,5,83.33%,1
,,学习装置	穿透汤匙	讲究眼镜,3,75.0%,1
,,穿透汤匙	讲究眼镜	贝壳之铃,2,66.67%,1
,,气势头带	穿透汤匙	贝壳之铃,1,100.0%,1
,,博识眼镜	穿透汤匙	连打围巾,1,100.0%,1
3,火焰鸡,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,61,8.38%,207,64.69%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ONX·亗ASH,21,70.0%
,,eLeru,17,62.96%
,,騙さない,11,61.11%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,火焰拳	真气弹	逃脱按键,111,68.1%,52
,,过热		火焰踢	逃脱按键,91,60.67%,49
,,火焰拳	真气弹	脱壳忍者玩偶,3,60.0%,1
,,过热		火焰踢	脱壳忍者玩偶,2,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	猛攻哑铃	锐利之爪,201,65.69%,57
,,弱点保险	气势头带	猛攻哑铃,6,54.55%,3
,,气势头带	猛攻哑铃	锐利之爪,0,0.0%,1
4,苍炎刃鬼,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,63,8.02%,207,67.65%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,VzNiceshot;),12,85.71%
,,Monnty`,12,80.0%
,,Itoshi凛!,11,73.33%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,悔念剑	潜灵奇袭	逃脱按键,125,64.77%,49
,,悔念剑	潜灵奇袭	攻击强化,39,69.64%,11
,,精神利刃	潜灵奇袭	逃脱按键,18,81.82%,6
,,精神利刃	潜灵奇袭	攻击强化,15,83.33%,5
,,悔念剑	潜灵奇袭	万灵药,6,85.71%,2
,,精神利刃	蓄能焰袭	逃脱按键,3,60.0%,2
,,悔念剑	蓄能焰袭	逃脱按键,1,100.0%,1
,,精神利刃	潜灵奇袭	万灵药,0,0.0%,1
,,精神利刃	蓄能焰袭	攻击强化,0,0.0%,2
,,悔念剑	蓄能焰袭	攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	猛攻哑铃	锐利之爪,104,65.41%,31
,,力量头带	猛攻哑铃	锐利之爪,42,71.19%,15
,,力量头带	焦点镜	猛攻哑铃,5,62.5%,4
,,力量头带	焦点镜	锐利之爪,19,65.52%,2
,,力量头带	弱点保险	猛攻哑铃,10,58.82%,2
,,力量头带	弱点保险	锐利之爪,1,33.33%,2
,,猛攻哑铃	能量增幅器	锐利之爪,10,100.0%,1
,,咒术手镯	猛攻哑铃	锐利之爪,7,100.0%,1
,,焦点镜	猛攻哑铃	锐利之爪,5,62.5%,1
,,咒术手镯	能量增幅器	锐利之爪,2,100.0%,1
,,力量头带	气势头带	连打围巾,1,100.0%,1
,,力量头带	能量增幅器	锐利之爪,1,50.0%,1
,,咒术手镯	猛攻哑铃	能量增幅器,0,0.0%,1
5,喷火龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,55,5.13%,149,76.02%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ttvPaPiYanG,29,87.88%
,,</>メYagbolz,16,76.19%
,,HS・Diesel,9,75.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
