,一共游戏场数,4949
1,梦幻,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,66,38.27%,1383,73.02%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ぺぺぷんぺ,126,72.41%
,,Lunderu,74,77.08%
,,きゃんのぉ,67,72.04%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冲浪		高速移动	逃脱按键,395,71.43%,42
,,日光束	光墙		逃脱按键,312,72.39%,36
,,日光束	高速移动	逃脱按键,167,73.57%,30
,,电球		高速移动	逃脱按键,113,79.02%,26
,,冲浪		高速移动	速度强化,107,71.81%,22
,,日光束	光墙		速度强化,88,75.21%,18
,,电球		高速移动	速度强化,35,77.78%,9
,,冲浪		光墙		逃脱按键,25,75.76%,8
,,日光束	高速移动	速度强化,22,70.97%,7
,,冲浪		高速移动	攻击强化,17,65.38%,6
,,日光束	光墙		攻击强化,16,64.0%,5
,,冲浪		指导		逃脱按键,13,92.86%,11
,,技能未定	技能未定	逃脱按键,12,70.59%,12
,,电球		指导		逃脱按键,8,88.89%,7
,,电球		技能未定	逃脱按键,7,87.5%,8
,,日光束	技能未定	逃脱按键,7,63.64%,9
,,日光束	指导		逃脱按键,6,75.0%,7
,,日光束	高速移动	攻击强化,6,60.0%,3
,,冲浪		技能未定	逃脱按键,5,100.0%,5
,,电球		光墙		逃脱按键,5,83.33%,4
,,电球		高速移动	攻击强化,4,80.0%,4
,,电球		技能未定	速度强化,3,100.0%,3
,,技能未定	技能未定	速度强化,3,60.0%,4
,,电球		指导		速度强化,2,100.0%,1
,,冲浪		高速移动	得分加速装置,1,100.0%,1
,,电球		指导		得分加速装置,1,100.0%,1
,,冲浪		技能未定	速度强化,1,100.0%,1
,,冲浪		光墙		速度强化,1,50.0%,2
,,冲浪		指导		速度强化,1,50.0%,2
,,日光束	光墙		得分加速装置,0,0.0%,1
,,电球		光墙		速度强化,0,0.0%,1
,,电球		光墙		得分加速装置,0,0.0%,1
,,冲浪		技能未定	攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	贝壳之铃	博识眼镜,1146,72.81%,43
,,讲究眼镜	进击眼镜	博识眼镜,179,76.82%,9
,,讲究眼镜	气势头带	博识眼镜,40,66.67%,8
,,讲究眼镜	进击眼镜	贝壳之铃,15,71.43%,2
,,进击眼镜	贝壳之铃	博识眼镜,0,0.0%,1
,,讲究眼镜	气势头带	贝壳之铃,0,0.0%,1
2,魔墙人偶,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,82,29.2%,1042,72.11%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,iamJAP,75,75.0%
,,1st_Blossom,68,68.0%
,,XilekiraTTV,50,83.33%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,精神强念	力量互换	速度强化,744,73.16%,68
,,精神强念	力量互换	伤药	,194,69.53%,19
,,念力		力量互换	速度强化,68,70.1%,14
,,精神强念	力量互换	得分加速装置,9,100.0%,1
,,念力		屏障		速度强化,8,50.0%,5
,,精神强念	屏障		速度强化,7,87.5%,6
,,念力		力量互换	伤药	,6,85.71%,2
,,精神强念	力量互换	逃脱按键,3,75.0%,2
,,念力		力量互换	逃脱按键,2,66.67%,1
