,一共游戏场数,3679
1,武道熊师,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,59,22.04%,601,74.11%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,セラータ,68,85.0%
,,みこたくんch,64,72.73%
,,퍼밍,54,73.97%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗冥强击	深渊突刺	逃脱按键,332,73.13%,46
,,暗冥强击	深渊突刺	万灵药,192,79.01%,8
,,暗冥强击	深渊突刺	速度强化,65,65.0%,13
,,暗冥强击	深渊突刺	攻击强化,12,85.71%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,气势头带	猛攻哑铃	锐利之爪,76,69.09%,8
,,弱点保险	气势头带	猛攻哑铃,44,78.57%,8
,,猛攻哑铃	能量增幅器	锐利之爪,47,85.45%,7
,,力量头带	猛攻哑铃	锐利之爪,45,69.23%,7
,,焦点镜	猛攻哑铃	锐利之爪,19,82.61%,5
,,气势头带	焦点镜	猛攻哑铃,93,69.4%,4
,,气势头带	猛攻哑铃	能量增幅器,82,80.39%,4
,,弱点保险	猛攻哑铃	锐利之爪,28,62.22%,4
,,力量头带	能量增幅器	锐利之爪,33,82.5%,2
,,弱点保险	焦点镜	猛攻哑铃,13,59.09%,2
,,力量头带	气势头带	能量增幅器,64,72.73%,1
,,亿奥斯饼干	能量增幅器	锐利之爪,44,84.62%,1
,,力量头带	焦点镜	猛攻哑铃,6,66.67%,1
,,焦点镜	猛攻哑铃	能量增幅器,2,100.0%,1
,,力量头带	气势头带	猛攻哑铃,2,66.67%,1
,,气势头带	能量增幅器	锐利之爪,1,100.0%,1
,,亿奥斯饼干	猛攻哑铃	锐利之爪,1,50.0%,1
,,弱点保险	气势头带	锐利之爪,1,50.0%,1
2,巨钳螳螂,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,54,19.35%,538,75.56%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Crylix^,65,85.53%
,,敵外人ざくす,61,77.22%
,,ねこ_豚足,44,81.48%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,双翼		剑舞		万灵药,429,77.3%,44
,,双翼		二连击	万灵药,61,68.54%,23
,,双翼		剑舞		逃脱按键,19,70.37%,3
,,双翼		剑舞		速度强化,12,66.67%,1
,,子弹拳	剑舞		万灵药,11,78.57%,8
,,双翼		二连击	逃脱按键,5,71.43%,3
